Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
886607,IT754893,Concierge Services,316290 CAD,2018-01-28
933917,RO123456,IT Support,197348 USD,2018-01-06
818249,RO874232,Professional Services,187751 EUR,2018-01-26
733907,IT754893,IT Support,80504.4 RON,2018-01-07
125538,DE456232,IT Support,355760 RON,2018-01-25
665103,RO892123,Waste management services,164492 EUR,2018-01-24
742367,DE987564,Concierge Services,184234 CAD,2018-01-05
316555,RO345879,Various paper supplies,24646.8 CAD,2018-01-12
659192,RO212121,Waste management services,23198.4 USD,2018-01-17
568254,RO212121,Beverages and Catering,134850 CAD,2018-01-19
537201,RO125678,Beverages and Catering,295474 USD,2018-01-08
560164,RO345879,Various paper supplies,89227.2 CAD,2018-01-13
764063,RO874232,Concierge Services,304404 USD,2018-01-05
197940,RO874231,Professional Services,244420 CAD,2018-02-21
779449,IT213456,Professional Services,55882.8 EUR,2018-02-15
316014,RO123456,Beverages and Catering,302435 USD,2018-02-19
938465,RO212121,Professional Services,195355 USD,2018-02-27
534091,FR453231,Concierge Services,268032 USD,2018-02-22
248705,RO657483,Waste management services,169536 RON,2018-02-06
699371,RO874231,Professional Services,87733.2 EUR,2018-02-23
775348,RO874231,Waste management services,86725.2 RON,2018-02-21
712394,RO892123,Beverages and Catering,171263 RON,2018-02-27
202307,RO125678,Waste management services,128528 EUR,2018-02-20
374481,RO212121,Concierge Services,123191 RON,2018-02-19
280795,RO345879,Various paper supplies,333756 CAD,2018-03-09
359640,RO892123,Beverages and Catering,289442 USD,2018-03-05
724771,RO123456,Concierge Services,310228 EUR,2018-03-06
237453,IT754893,Professional Services,336061 EUR,2018-03-09
390861,IT145632,Professional Services,265681 CAD,2018-03-24
348808,RO874231,IT Support,191146 EUR,2018-03-02
614349,RO125678,IT Support,226774 USD,2018-03-26
471935,RO345879,Concierge Services,226772 EUR,2018-03-01
892721,RO345879,Beverages and Catering,190856 EUR,0000-00-00
590218,RO123456,Concierge Services,322685 USD,2018-03-19
575605,IT213456,Various paper supplies,54291.6 CAD,2018-03-16
954830,IT213456,Beverages and Catering,212950 CAD,2018-03-08
935579,DE987564,Waste management services,70052.4 USD,0000-00-00
737136,DE987564,Professional Services,301703 CAD,2018-03-23
599261,DE456232,Beverages and Catering,340872 CAD,2018-03-10
594950,RO874232,Concierge Services,288461 EUR,2018-03-10
424218,RO345879,Beverages and Catering,216326 CAD,2018-03-24
665261,IT754893,Various paper supplies,255728 CAD,2018-03-08
937428,IT145632,Beverages and Catering,209992 RON,2018-03-16
183534,RO125678,Beverages and Catering,122558 USD,2018-04-05
104563,RO874232,Concierge Services,64807.2 USD,2018-04-12
667271,RO874231,Various paper supplies,178286 RON,2018-04-14
210928,IT145632,Professional Services,227990 USD,0000-00-00
642217,IT145632,Waste management services,313843 USD,2018-04-07
617154,RO212121,Beverages and Catering,314174 EUR,2018-04-25
908834,IT754893,Beverages and Catering,357611 RON,2018-04-17
986957,DE987564,Professional Services,208991 EUR,2018-04-03
613018,IT213456,Beverages and Catering,112124 CAD,2018-04-20
497417,DE456232,Professional Services,308177 USD,2018-04-14
177270,IT145632,Professional Services,353269 EUR,2018-04-28
918629,RO125678,Concierge Services,349524 EUR,2018-04-09
640399,RO892123,Various paper supplies,168684 RON,2018-04-17
846030,DE456232,Concierge Services,290230 RON,2018-04-25
831143,DE987564,Professional Services,311678 RON,2018-04-25
966758,RO212121,Concierge Services,278554 CAD,2018-05-28
734265,RO874232,IT Support,195475 RON,2018-05-18
111812,RO345879,Waste management services,320735 RON,2018-05-18
154105,RO874231,Concierge Services,111619 RON,2018-05-26
971415,RO874231,Concierge Services,50700 CAD,2018-05-08
932135,RO123456,Beverages and Catering,353884 RON,2018-05-01
376452,RO892123,Concierge Services,346734 USD,0000-00-00
466045,IT213456,IT Support,286558 USD,0000-00-00
270099,RO345879,Waste management services,233896 CAD,2018-05-14
890684,IT213456,Waste management services,208204 EUR,2018-05-24
980228,RO123456,Waste management services,32986.8 RON,2018-05-13
701356,RO212121,IT Support,357838 EUR,0000-00-00
376369,RO212121,Professional Services,268140 EUR,2018-05-22
527098,DE987564,Professional Services,284329 EUR,2018-05-09
404257,FR453231,Professional Services,155977 CAD,2018-05-23
330360,RO212121,Beverages and Catering,278779 USD,2018-05-04
699622,FR453231,Beverages and Catering,337967 EUR,2018-06-25
800477,DE987564,Beverages and Catering,47256 USD,2018-06-09
701840,RO892123,IT Support,336191 EUR,2018-06-23
804376,RO874231,Waste management services,281246 USD,2018-06-02
441465,RO345879,IT Support,5418 EUR,2018-06-08
789345,RO874231,Professional Services,237467 EUR,2018-06-08
361430,RO874232,Various paper supplies,356699 USD,2018-06-23
455882,IT754893,Various paper supplies,117126 USD,2018-06-10
334211,DE987564,IT Support,122328 CAD,2018-06-19
434503,RO125678,Various paper supplies,124688 USD,2018-06-10
482952,RO874231,Waste management services,219860 CAD,2018-06-10
242314,DE456232,Professional Services,57990 CAD,2018-06-23
479562,RO123456,IT Support,155692 EUR,2018-06-21
820173,IT145632,Concierge Services,319433 CAD,2018-06-03
132053,IT754893,Professional Services,135443 EUR,2018-06-23
507322,RO892123,Various paper supplies,210576 EUR,2018-06-20
404286,IT145632,Beverages and Catering,218724 RON,2018-06-20
392986,DE456232,Beverages and Catering,102348 CAD,2018-07-08
914068,DE456232,Beverages and Catering,288191 EUR,2018-07-10
867653,RO345879,Waste management services,317396 CAD,2018-07-23
266918,DE456232,IT Support,346884 USD,2018-07-13
910201,RO345879,Concierge Services,162884 EUR,2018-07-23
681745,RO874231,Professional Services,148447 RON,2018-07-02
622797,RO125678,Various paper supplies,321320 RON,2018-07-03
838372,RO874231,Professional Services,160193 USD,2018-07-22
796428,RO345879,Various paper supplies,109909 CAD,2018-07-13
436575,RO345879,Various paper supplies,357106 USD,2018-07-17
216661,FR453231,Waste management services,131272 CAD,2018-07-06
222345,RO892123,Waste management services,328370 USD,2018-08-01
432034,DE987564,Waste management services,356573 EUR,2018-08-28
954330,DE456232,Various paper supplies,343267 CAD,2018-08-24
524964,FR453231,IT Support,155125 CAD,2018-08-13
552703,RO874231,Various paper supplies,318960 USD,2018-08-02
863958,RO123456,IT Support,170944 RON,0000-00-00
545004,DE456232,Various paper supplies,267025 EUR,2018-08-19
665852,RO123456,Beverages and Catering,158720 USD,2018-08-21
800015,IT754893,IT Support,131507 CAD,2018-08-10
407833,RO892123,Various paper supplies,300976 CAD,2018-08-04
585236,RO892123,Professional Services,110029 CAD,0000-00-00
111853,IT754893,IT Support,267398 EUR,2018-08-24
299657,RO123456,Various paper supplies,19080 USD,2018-08-06
168644,RO874232,Various paper supplies,159194 USD,2018-08-26
654102,DE987564,Professional Services,282730 RON,2018-08-20
620447,IT754893,Beverages and Catering,141295 RON,2018-08-20
541692,FR453231,Waste management services,111257 RON,2018-09-01
218609,RO125678,Various paper supplies,274884 EUR,2018-09-18
156266,RO874232,Waste management services,19540.8 RON,2018-09-21
813976,RO125678,Professional Services,236382 RON,2018-09-01
628145,DE987564,Various paper supplies,59238 USD,2018-09-26
731790,DE987564,IT Support,27328.8 CAD,2018-09-23
819259,IT754893,Various paper supplies,31904.4 EUR,2018-09-17
835598,RO123456,Concierge Services,315511 RON,2018-09-25
714005,RO123456,Beverages and Catering,84711.6 EUR,2018-09-02
160069,RO874232,Waste management services,68481.6 USD,2018-09-03
398942,RO345879,Beverages and Catering,301092 CAD,2018-09-02
901089,RO212121,Concierge Services,78836.4 RON,2018-10-21
367058,RO874232,IT Support,73922.4 USD,2018-10-09
339084,RO345879,Professional Services,240960 USD,2018-10-11
328161,RO874232,Professional Services,60338.4 RON,2018-10-15
369845,FR453231,Waste management services,15822 USD,2018-10-15
707587,RO212121,Concierge Services,312730 EUR,2018-10-04
145147,DE987564,Professional Services,356026 RON,2018-10-18
675240,IT213456,Various paper supplies,192252 USD,2018-10-15
381705,RO874231,Concierge Services,28532.4 EUR,2018-10-14
729678,RO657483,IT Support,65827.2 CAD,2018-10-26
863514,IT754893,IT Support,144493 EUR,2018-10-13
529144,RO125678,Waste management services,169534 EUR,2018-10-26
682558,RO657483,IT Support,250012 EUR,2018-10-09
372678,RO874232,Concierge Services,60511.2 USD,2018-10-01
342426,DE987564,Various paper supplies,43044 EUR,2018-10-01
302188,IT213456,Beverages and Catering,203803 EUR,0000-00-00
218926,RO212121,IT Support,235469 USD,2018-10-15
312343,RO874231,Various paper supplies,158244 CAD,2018-10-04
614576,RO874231,Various paper supplies,333404 USD,2018-11-23
481536,RO212121,Beverages and Catering,104587 USD,2018-11-03
559769,RO123456,Beverages and Catering,93552 USD,2018-11-02
913724,IT213456,Concierge Services,252017 CAD,2018-11-18
439660,IT213456,Concierge Services,280039 EUR,2018-11-09
522783,IT754893,Beverages and Catering,211146 EUR,2018-11-19
929964,RO874231,IT Support,182372 CAD,2018-11-13
836088,DE987564,Waste management services,213300 CAD,2018-11-21
347600,IT754893,Various paper supplies,495.6 USD,2018-11-18
590133,IT213456,Various paper supplies,196331 CAD,2018-11-07
601043,RO657483,IT Support,115238 CAD,2018-11-07
755414,RO123456,Professional Services,249592 CAD,2018-11-01
348322,RO657483,Waste management services,4164 RON,2018-11-24
725543,RO345879,Various paper supplies,34663.2 RON,2018-11-02
514044,RO125678,Concierge Services,89433.6 CAD,2018-11-13
688058,RO123456,Concierge Services,62878.8 RON,2018-11-24
809592,RO874232,Various paper supplies,139237 USD,2018-11-06
508070,IT145632,Professional Services,281969 CAD,2018-11-11
585912,RO345879,Waste management services,254251 USD,2018-11-12
156797,DE987564,Concierge Services,219437 USD,2018-12-14
757626,RO123456,Various paper supplies,130048 USD,2018-12-17
777181,FR453231,Various paper supplies,138316 USD,2018-12-15
147129,RO125678,Concierge Services,7058.4 EUR,2018-12-16
910664,IT213456,Various paper supplies,185275 RON,2018-12-28
749251,RO123456,Concierge Services,30934.8 CAD,2018-12-13
645229,RO874231,Various paper supplies,126701 USD,2018-12-13
253748,RO345879,Concierge Services,84102 CAD,2018-12-15
462660,RO657483,Waste management services,238410 EUR,2018-12-22
